gm,Id,SS,tox,Vtgm
1.96E-04,2.99E-04,84.86,0.0101,0.959
1.98E-04,3.03E-04,85.312,0.0101,0.961
1.58E-04,2.31E-04,91.669,0.013,1.03
1.60E-04,2.34E-04,92.247,0.013,1.032
1.93E-04,2.54E-04,89.892,0.0101,1.183
1.96E-04,2.58E-04,90.037,0.0101,1.182
1.56E-04,1.86E-04,97.483,0.013,1.304
1.58E-04,1.89E-04,97.669,0.013,1.303
1.97E-04,3.01E-04,84.859,0.0101,0.961
1.99E-04,3.05E-04,85.317,0.0101,0.963
1.58E-04,2.32E-04,91.674,0.013,1.032
1.60E-04,2.35E-04,92.256,0.013,1.033
1.94E-04,2.55E-04,89.857,0.0101,1.185
1.97E-04,2.59E-04,90.005,0.0101,1.184
1.56E-04,1.87E-04,97.444,0.013,1.306
1.58E-04,1.89E-04,97.633,0.013,1.305
1.98E-04,3.02E-04,84.861,0.0101,0.962
2.00E-04,3.06E-04,85.321,0.0101,0.964
1.59E-04,2.33E-04,91.68,0.013,1.033
1.61E-04,2.36E-04,92.265,0.013,1.035
1.95E-04,2.56E-04,89.807,0.0101,1.187
1.98E-04,2.60E-04,89.974,0.0101,1.186
1.57E-04,1.87E-04,97.406,0.013,1.308
1.59E-04,1.90E-04,97.6,0.013,1.307
1.99E-04,3.03E-04,84.863,0.0101,0.964
2.01E-04,3.07E-04,85.326,0.0101,0.966
1.60E-04,2.34E-04,91.686,0.013,1.035
1.62E-04,2.37E-04,92.275,0.013,1.036
1.96E-04,2.57E-04,89.789,0.0101,1.189
1.99E-04,2.61E-04,89.944,0.0101,1.188
1.58E-04,1.88E-04,97.368,0.013,1.31
1.60E-04,1.91E-04,97.564,0.013,1.309
1.99E-04,3.05E-04,84.866,0.0101,0.965
2.02E-04,3.09E-04,85.331,0.0101,0.967
1.61E-04,2.35E-04,91.693,0.013,1.036
1.63E-04,2.38E-04,92.286,0.013,1.037
1.97E-04,2.58E-04,89.757,0.0101,1.191
2.00E-04,2.62E-04,89.914,0.0101,1.19
1.59E-04,1.89E-04,97.347,0.013,1.312
1.61E-04,1.91E-04,97.531,0.013,1.31
2.00E-04,3.06E-04,84.869,0.0101,0.967
2.03E-04,3.10E-04,85.337,0.0101,0.969
1.61E-04,2.36E-04,91.7,0.013,1.037
1.63E-04,2.39E-04,92.297,0.013,1.039
1.98E-04,2.59E-04,89.724,0.0101,1.193
2.01E-04,2.63E-04,89.884,0.0101,1.192
1.59E-04,1.89E-04,97.296,0.013,1.314
1.61E-04,1.92E-04,97.497,0.013,1.312
2.01E-04,3.07E-04,84.873,0.0101,0.968
2.04E-04,3.11E-04,85.343,0.0101,0.97
1.62E-04,2.37E-04,91.708,0.013,1.038
1.64E-04,2.39E-04,92.308,0.013,1.04
1.99E-04,2.60E-04,89.692,0.0101,1.195
2.02E-04,2.63E-04,89.855,0.0101,1.194
1.60E-04,1.90E-04,97.26,0.013,1.316
1.62E-04,1.92E-04,97.465,0.013,1.314
2.02E-04,3.08E-04,84.877,0.0101,0.97
2.05E-04,3.12E-04,85.349,0.0101,0.971
1.63E-04,2.38E-04,91.716,0.013,1.04
1.65E-04,2.40E-04,92.32,0.013,1.041
2.00E-04,2.60E-04,89.66,0.0101,1.196
2.03E-04,2.64E-04,89.826,0.0101,1.196
1.61E-04,1.90E-04,97.223,0.013,1.318
1.63E-04,1.93E-04,97.432,0.013,1.316
2.03E-04,3.09E-04,84.881,0.0101,0.971
2.06E-04,3.13E-04,85.356,0.0101,0.973
1.63E-04,2.38E-04,91.725,0.013,1.041
1.65E-04,2.41E-04,92.332,0.013,1.042
